distance_km,weather_severity,road_type,season,cargo_weight_kg,driver_experience_yrs,departure_hour,is_delayed
596,1,highway,fall,2451,29,17,0
788,1,rural,summer,10665,8,11,0
662,1,highway,spring,14852,5,17,1
511,3,rural,spring,10246,24,15,0
692,4,highway,winter,11470,18,13,1
54,2,rural,spring,9686,15,16,0
267,3,rural,spring,9304,20,18,0
552,3,highway,winter,1095,1,11,1
447,2,highway,winter,8375,9,13,0
442,2,highway,summer,6472,15,6,0
256,1,highway,spring,16382,4,6,1
64,3,rural,summer,1358,14,8,0
603,5,rural,summer,6019,12,19,0
510,2,highway,winter,10480,12,20,0
740,2,highway,fall,4817,12,9,0
624,4,highway,summer,12644,14,19,1
792,5,rural,fall,13379,13,5,1
290,5,highway,spring,1530,7,18,0
613,2,highway,winter,9987,10,21,1
145,1,rural,spring,13805,17,4,0
783,4,rural,spring,10755,23,15,1
534,5,highway,winter,1947,3,11,1
456,2,rural,spring,10737,25,9,0
280,5,highway,winter,3350,9,15,1
798,4,highway,fall,12453,0,10,1
704,4,rural,spring,8606,28,21,1
220,3,rural,winter,10500,4,17,0
590,2,highway,summer,10003,12,11,0
85,4,highway,spring,15993,0,17,1
574,3,highway,fall,4555,22,8,0
209,3,highway,winter,5902,7,12,0
748,5,highway,spring,9781,2,11,0
292,5,highway,spring,2172,2,5,1
135,3,highway,spring,5032,6,19,0
627,5,rural,fall,5424,3,16,1
731,4,rural,winter,15769,2,10,1
606,1,rural,summer,13046,14,19,1
623,4,highway,summer,6585,7,10,1
695,3,rural,summer,12890,2,17,0
77,3,rural,winter,13780,28,17,0
669,4,rural,summer,5364,29,15,1
605,5,rural,fall,9816,6,4,1
389,5,rural,winter,1721,17,4,0
380,3,highway,spring,3360,10,15,0
689,2,highway,fall,11202,10,18,1
555,5,rural,spring,8928,16,7,1
397,4,rural,summer,15885,27,10,1
522,5,rural,fall,9836,5,19,1
280,4,highway,winter,3753,7,6,1
239,3,highway,fall,4282,0,10,0
274,5,highway,spring,17650,28,9,1
434,4,rural,winter,19565,9,19,0
426,3,highway,fall,16843,27,11,0
332,2,highway,fall,19549,24,9,0
682,4,highway,fall,10451,18,13,0
677,2,highway,fall,16769,2,19,0
794,2,rural,winter,15067,3,14,0
308,1,rural,spring,12183,10,16,1
408,5,rural,fall,4013,14,9,1
759,4,highway,winter,17379,0,4,1
505,2,rural,spring,13835,8,15,0
460,1,highway,fall,11872,10,9,0
698,3,rural,spring,6322,18,21,0
367,4,highway,spring,15337,12,16,0
726,2,highway,winter,12622,25,10,0
274,5,rural,spring,2572,15,16,1
283,1,rural,winter,9029,3,11,1
733,2,highway,fall,19439,0,20,0
713,5,rural,spring,6459,19,12,0
423,2,highway,spring,9607,12,16,0
721,4,highway,summer,6493,0,5,1
657,4,highway,fall,5521,4,7,1
521,4,highway,fall,19791,4,5,0
282,1,highway,summer,19798,13,7,1
741,4,highway,summer,14046,26,21,1
162,5,highway,winter,10674,22,8,1
546,2,rural,winter,16638,13,13,0
491,3,highway,spring,12259,7,21,1
613,5,rural,spring,9690,3,13,1
317,5,highway,spring,13386,6,8,0
559,4,rural,spring,17279,19,20,1
435,1,highway,winter,17822,18,16,0
436,2,highway,fall,10328,14,20,0
162,1,highway,spring,3010,21,12,0
662,2,highway,fall,18533,3,15,0
674,2,highway,spring,3935,29,17,0
130,1,rural,summer,3701,18,17,0
748,5,rural,spring,15653,8,11,1
162,2,rural,spring,558,20,8,0
51,1,rural,spring,11622,12,17,1
691,2,highway,winter,3471,13,12,0
269,3,highway,summer,10219,22,10,0
615,5,highway,spring,14517,27,11,1
785,4,highway,spring,8814,13,17,0
274,2,highway,fall,10128,21,17,0
434,3,highway,summer,9854,9,14,0
452,4,highway,spring,11992,15,17,0
687,4,highway,fall,3845,4,11,0
179,2,rural,fall,19370,22,6,0
102,1,rural,winter,15857,26,21,1
733,2,highway,fall,1061,5,6,0
779,3,rural,spring,6761,25,16,1
721,4,rural,winter,2237,1,15,1
759,2,highway,winter,9596,12,18,0
465,1,highway,spring,13182,28,21,0
296,2,highway,summer,12223,12,8,0
488,5,rural,fall,12598,18,10,0
252,1,rural,winter,9626,17,14,1
233,3,highway,summer,13889,27,14,0
172,4,highway,spring,8766,18,18,0
450,2,highway,fall,794,0,13,0
343,1,highway,fall,11934,7,18,0
329,5,highway,winter,5830,21,16,0
659,1,rural,fall,5155,15,17,0
247,5,rural,fall,17993,28,20,1
560,3,rural,fall,13960,1,16,0
193,4,rural,fall,4271,7,13,1
658,3,rural,spring,9063,5,4,1
250,2,highway,summer,18058,15,4,0
173,1,rural,spring,1664,22,18,0
236,5,highway,spring,9975,10,19,1
375,5,rural,winter,12888,16,15,0
513,1,highway,fall,14469,22,9,1
398,1,rural,spring,8934,18,9,0
709,2,highway,fall,19684,10,15,0
452,3,highway,spring,7762,27,18,0
395,5,highway,spring,2041,7,7,0
560,2,highway,winter,3265,21,7,0
196,3,rural,summer,10806,3,5,0
197,2,rural,summer,4991,10,15,0
760,5,highway,spring,3583,7,10,1
538,1,highway,winter,2357,8,12,1
689,1,highway,fall,1269,25,12,1
600,3,highway,fall,18306,1,11,0
387,4,highway,spring,3472,15,17,1
690,3,rural,summer,18756,5,4,1
522,4,highway,winter,6099,20,15,1
200,2,highway,summer,19153,20,5,0
464,2,highway,fall,5775,25,16,0
347,5,highway,summer,7071,26,7,0
660,4,highway,fall,5572,18,21,1
312,5,rural,winter,10131,27,19,1
193,1,highway,winter,11745,7,17,0
395,4,highway,spring,15206,13,11,0
673,3,highway,spring,5963,23,15,0
621,1,highway,summer,7950,15,12,1
51,1,highway,winter,11595,11,9,1
353,3,rural,winter,1813,4,21,0
303,1,rural,spring,8347,23,5,1
701,4,highway,fall,17954,25,11,1
502,5,highway,summer,9666,23,17,1
86,1,highway,summer,10430,18,9,0
209,4,highway,spring,3785,17,13,1
58,2,rural,winter,3595,8,11,1
282,4,rural,spring,17204,1,20,1
148,5,highway,spring,19205,24,15,0
708,4,highway,spring,1055,19,20,1
257,3,highway,spring,5932,11,16,0
180,5,rural,fall,1886,28,15,1
453,2,rural,fall,11739,1,19,0
201,3,highway,winter,11119,9,8,0
103,4,highway,spring,7354,0,19,0
169,5,rural,fall,10696,3,9,1
722,2,highway,winter,16533,24,14,0
677,3,highway,spring,8137,11,20,1
636,2,highway,summer,13462,8,17,0
674,4,rural,fall,15440,3,9,0
469,2,highway,winter,11118,8,14,0
471,1,highway,summer,4293,27,15,0
153,3,rural,spring,7873,5,16,0
303,2,highway,spring,3013,0,7,0
276,4,highway,spring,2827,9,10,1
161,4,highway,fall,9309,28,5,0
559,2,highway,winter,19049,13,9,1
522,4,rural,summer,6952,21,9,0
148,5,highway,winter,8142,24,21,1
202,5,highway,fall,14935,28,11,0
387,5,highway,winter,1492,17,11,0
755,1,rural,fall,5924,5,11,0
212,2,rural,spring,4881,17,11,0
769,1,highway,summer,5282,19,4,1
730,4,highway,spring,7960,15,5,0
210,1,rural,winter,19962,14,15,1
629,4,highway,spring,3483,15,18,0
447,4,rural,summer,14682,7,7,0
326,3,rural,spring,3023,12,6,0
553,5,rural,summer,10177,22,17,0
441,4,highway,summer,10792,10,11,1
184,3,highway,spring,15589,27,16,0
244,5,rural,fall,5081,28,8,1
450,4,highway,winter,12407,24,16,0
689,4,highway,fall,6109,6,4,1
82,1,rural,fall,18885,16,19,0
737,1,rural,spring,18271,17,5,1
509,5,highway,winter,11875,21,10,0
519,4,highway,winter,17914,22,9,1
424,2,highway,fall,10457,18,8,0
71,1,rural,spring,13455,24,7,1
799,5,rural,winter,1720,12,5,1
719,4,highway,fall,13663,14,13,1
87,4,highway,winter,13789,22,8,0
279,2,rural,spring,13037,29,21,0
414,5,highway,spring,10310,21,13,0
612,4,highway,spring,9955,28,18,1
487,1,rural,winter,9563,21,12,0
332,2,highway,summer,1334,0,14,1
76,5,rural,winter,2224,28,20,1
275,2,highway,summer,2913,15,12,0
326,1,highway,spring,10005,4,19,1
658,5,rural,fall,4998,25,9,1
333,2,highway,summer,2605,2,14,0
530,3,rural,spring,3068,22,20,0
502,1,highway,spring,9830,9,7,0
708,1,highway,summer,17093,18,18,1
565,1,highway,fall,5411,4,4,0
596,3,highway,spring,19104,6,4,0
241,3,highway,summer,17117,13,12,0
98,4,highway,fall,1292,2,15,0
561,2,highway,fall,14695,12,7,0
66,4,highway,spring,14401,12,16,0
221,2,rural,winter,16262,9,10,0
269,3,rural,winter,19994,1,11,0
207,3,rural,spring,19050,5,16,1
526,4,highway,fall,9026,7,14,0
95,5,highway,spring,16398,3,12,1
422,4,rural,summer,1714,24,19,0
567,2,highway,winter,15846,11,13,0
148,4,highway,summer,712,27,14,1
794,1,rural,spring,2158,14,15,0
86,2,rural,spring,12770,7,17,0
329,2,highway,fall,14529,6,15,0
398,5,highway,fall,5524,13,21,0
546,3,rural,fall,13539,22,20,1
351,2,highway,summer,5641,18,6,0
230,3,rural,fall,18678,13,4,0
656,4,rural,spring,6488,21,7,1
148,1,rural,fall,14277,12,19,1
749,5,highway,winter,6078,28,15,0
165,3,highway,fall,15551,20,16,0
240,2,rural,summer,4345,0,20,0
302,3,rural,winter,12382,26,11,0
210,2,rural,winter,14747,18,16,0
305,3,highway,winter,11984,28,8,0
372,2,highway,summer,878,27,21,0
177,4,rural,spring,3793,0,18,1
67,2,rural,fall,12130,3,15,0
784,2,rural,winter,14160,9,20,1
615,1,rural,winter,17108,2,18,1
619,2,highway,winter,1237,26,5,0
372,1,rural,spring,17119,19,9,0
735,5,rural,spring,12970,8,20,1
675,1,highway,summer,17595,2,19,0
337,4,rural,spring,16617,27,20,0
712,1,highway,fall,15279,5,12,0
688,5,highway,summer,18772,5,8,0
204,4,rural,summer,18143,22,4,1
539,3,highway,fall,7771,24,9,1
435,3,highway,fall,17632,11,17,0
153,1,highway,fall,12678,22,20,0
442,1,highway,summer,14990,29,4,0
295,5,highway,summer,14363,0,4,1
225,5,highway,summer,2323,15,16,0
88,2,rural,fall,7352,23,17,0
526,5,highway,fall,13572,4,9,1
731,2,highway,winter,11633,8,9,0
587,4,highway,spring,15611,9,4,0
457,1,rural,winter,7019,12,17,1
574,4,highway,fall,2277,14,6,0
555,5,rural,summer,18106,11,13,1
85,4,rural,fall,15272,4,7,0
734,4,rural,spring,14121,4,13,1
69,4,highway,winter,12359,27,5,1
370,5,rural,winter,18661,27,7,1
561,4,highway,summer,9996,29,9,0
449,2,rural,winter,7990,17,10,0
703,5,rural,winter,9393,11,19,1
520,4,highway,fall,3489,26,10,1
192,5,highway,winter,8843,2,21,1
141,3,highway,winter,18209,25,12,1
403,2,rural,winter,12414,24,13,0
776,4,highway,summer,9498,6,16,1
100,3,highway,summer,3222,16,21,1
714,3,highway,fall,5156,18,19,0
747,5,rural,winter,18209,27,20,1
624,3,rural,summer,4633,17,16,0
239,2,rural,summer,19753,0,15,1
174,2,rural,fall,1742,24,13,0
199,1,highway,spring,9039,23,4,0
363,2,highway,winter,2331,4,11,0
619,3,rural,summer,18453,26,21,1
391,2,highway,fall,7746,27,5,0
354,5,highway,fall,18802,1,19,0
741,1,highway,fall,3732,0,15,0
731,3,highway,summer,4258,6,12,0
103,1,highway,winter,6497,28,6,1
493,3,rural,spring,19239,10,7,1
662,5,highway,winter,11472,10,5,0
313,1,highway,fall,15868,17,11,0
102,4,highway,fall,2324,16,13,0
621,3,rural,spring,11183,1,19,0
669,4,highway,winter,4560,6,14,1
54,1,rural,fall,904,6,21,0
152,4,rural,fall,18605,9,17,1
245,4,highway,winter,11517,21,11,1
399,1,rural,fall,4345,20,18,0
96,5,rural,winter,11884,2,20,1
705,4,rural,fall,16948,29,21,1
318,4,rural,winter,9991,11,9,1
419,5,highway,spring,13612,2,17,0
685,4,highway,fall,12285,10,6,1
155,4,highway,spring,1468,28,10,0
719,4,highway,fall,868,11,18,1
708,2,rural,fall,8924,24,19,0
706,5,highway,summer,2742,3,19,1
169,4,rural,winter,3583,24,11,0
653,5,rural,spring,13822,15,10,1
107,3,rural,spring,1969,19,9,0
395,3,rural,spring,5225,17,5,0
790,4,highway,winter,4759,3,16,0
523,5,highway,summer,4122,21,15,0
166,5,highway,spring,10792,5,18,0
176,5,highway,winter,17707,20,12,0
442,2,highway,fall,3931,14,5,0
690,3,highway,spring,4651,0,20,0
107,5,rural,spring,4713,2,8,0
683,5,highway,summer,15735,4,14,1
562,2,highway,spring,9489,21,10,0
145,2,rural,spring,1279,29,5,0
687,5,highway,fall,15851,16,19,0
167,1,highway,winter,11542,29,15,1
609,5,rural,winter,19776,13,18,1
650,5,rural,summer,6034,8,4,1
537,2,rural,fall,3806,29,16,0
286,2,highway,winter,3402,2,9,0
321,5,rural,fall,13891,25,16,0
238,5,rural,winter,4218,12,21,0
753,5,highway,fall,521,2,6,0
496,2,rural,summer,2000,10,4,0
630,5,rural,spring,9534,1,18,1
296,5,highway,summer,16299,23,16,1
125,4,highway,winter,4141,14,8,1
203,1,rural,summer,691,12,16,0
705,3,rural,spring,13806,18,8,0
484,1,highway,summer,13914,21,21,0
135,4,rural,winter,9087,15,13,1
746,3,highway,winter,5162,17,11,1
334,5,highway,summer,4826,6,18,0
269,4,highway,spring,9565,12,7,1
118,5,rural,summer,10971,3,5,0
96,2,rural,spring,13141,8,9,0
143,4,highway,fall,9696,29,6,0
799,2,highway,spring,13226,9,10,0
502,4,highway,fall,16151,8,13,0
253,4,rural,summer,9036,6,9,0
267,2,rural,spring,19595,14,19,1
523,3,rural,fall,13444,27,5,1
481,1,rural,fall,6773,7,20,0
390,5,rural,fall,6784,18,16,0
600,4,highway,winter,9317,10,4,1
661,5,highway,summer,18562,4,9,1
338,2,highway,fall,8914,1,8,0
303,5,rural,spring,17627,9,16,0
783,2,rural,fall,17346,15,21,1
406,5,highway,winter,18452,22,15,1
72,1,rural,summer,12039,12,10,0
571,1,highway,winter,14493,7,18,0
149,1,highway,winter,13951,8,6,1
229,1,rural,winter,15192,10,19,1
272,1,rural,spring,18620,10,4,0
708,1,rural,summer,13834,22,19,0
491,2,highway,summer,8403,25,15,0
657,4,highway,spring,16129,15,11,0
374,5,rural,summer,18240,9,15,1
565,1,highway,winter,1514,28,18,0
65,2,highway,summer,11360,23,5,0
385,2,rural,spring,17938,11,20,1
307,2,highway,winter,2264,24,10,0
546,4,rural,spring,6509,5,16,0
209,5,rural,fall,10104,27,4,1
524,4,highway,winter,16512,11,9,1
713,3,highway,winter,1167,9,16,1
739,2,rural,summer,3870,17,14,1
724,3,rural,winter,6476,17,13,0
429,1,rural,spring,18278,3,19,0
594,1,rural,summer,9113,8,20,0
740,4,rural,fall,6099,6,20,1
476,5,rural,spring,4150,17,7,0
662,3,highway,fall,12849,7,8,0
317,5,highway,fall,10394,10,17,0
626,4,highway,fall,3690,6,13,1
466,1,highway,winter,15845,8,17,1
217,5,highway,spring,9289,7,4,0
92,5,highway,spring,891,2,14,0
605,1,rural,winter,17959,16,21,0
334,3,highway,summer,3150,1,19,0
446,1,highway,fall,14100,14,21,0
61,5,highway,spring,14817,13,11,0
656,3,highway,winter,19268,28,13,0
351,3,highway,fall,17693,17,13,0
302,1,highway,summer,16063,15,8,0
548,5,highway,summer,7395,19,13,1
84,4,rural,fall,18043,21,21,1
776,5,rural,summer,2031,3,9,1
139,2,rural,spring,5981,24,6,1
654,4,rural,spring,11374,19,11,0
651,3,highway,spring,6663,5,12,0
467,4,rural,summer,5764,5,8,1
164,3,rural,spring,18115,25,5,0
666,3,highway,winter,16390,10,5,0
245,4,rural,spring,19307,25,10,0
550,3,highway,spring,12267,16,20,0
675,3,rural,summer,8571,23,13,0
542,2,rural,spring,16040,27,15,0
124,5,highway,fall,3408,2,5,0
462,5,rural,winter,5212,12,13,1
425,2,rural,summer,12690,21,4,1
469,4,rural,winter,10650,2,7,0
778,1,highway,fall,19619,15,16,1
326,1,rural,summer,4991,14,15,0
725,1,highway,summer,14419,10,14,1
443,2,highway,spring,14668,17,13,0
506,2,highway,winter,9093,14,18,0
241,3,rural,fall,17858,4,8,1
788,1,rural,fall,17107,15,20,0
738,4,rural,summer,5113,29,8,1
148,4,rural,spring,11926,15,5,0
597,1,highway,summer,17109,16,12,0
145,1,highway,summer,8683,8,9,0
713,1,highway,summer,18225,26,21,0
712,2,highway,summer,8901,22,17,0
239,2,highway,fall,4227,2,17,0
785,2,highway,fall,14203,19,11,0
86,5,highway,summer,19687,12,20,1
418,4,highway,summer,10718,21,6,0
744,4,highway,spring,893,2,13,0
574,3,highway,summer,16492,27,20,0
328,2,rural,fall,9535,6,14,1
266,5,rural,winter,10216,28,11,1
322,5,rural,fall,9295,5,4,1
111,4,highway,spring,1081,8,16,0
645,2,highway,fall,14830,11,7,1
778,3,rural,winter,10631,14,10,0
391,2,highway,summer,632,20,17,0
446,1,highway,winter,19722,19,8,0
748,2,highway,summer,15484,2,14,0
68,1,highway,summer,3885,9,20,0
226,1,highway,fall,4270,0,8,0
661,3,highway,fall,2768,18,6,0
445,4,rural,fall,1475,18,8,0
494,2,highway,spring,8105,22,18,0
282,1,highway,fall,7713,22,19,0
125,2,rural,spring,11955,12,11,0
314,4,highway,fall,3335,11,16,0
504,4,highway,summer,3238,0,19,1
767,5,rural,spring,10049,18,6,1
784,4,highway,winter,4634,28,4,1
433,3,highway,spring,7333,23,12,0
613,1,highway,spring,8853,15,12,0
555,5,highway,winter,16190,24,20,0
416,3,highway,spring,2409,22,5,0
193,2,rural,summer,14996,22,12,0
118,1,highway,fall,12562,27,16,0
148,4,highway,winter,10350,14,8,1
445,1,highway,fall,2463,15,12,0
74,2,highway,summer,5653,10,16,0
518,5,rural,winter,10981,23,4,1
533,5,highway,fall,1466,5,18,1
614,5,highway,fall,1389,10,7,0
200,4,highway,summer,19945,2,7,1
193,3,highway,fall,6961,14,13,0
618,3,highway,summer,6666,0,9,1
88,1,rural,spring,16506,6,15,0
158,4,highway,summer,11881,0,19,1
742,5,highway,spring,16844,16,6,0
91,5,highway,winter,11440,8,17,1
235,2,rural,fall,11758,28,4,0
447,2,highway,summer,7780,25,13,0
272,5,rural,summer,1567,22,18,1
683,5,rural,fall,11615,12,10,0
182,4,rural,fall,9518,10,7,0
212,3,highway,winter,16253,28,17,1
264,2,highway,winter,14678,19,19,1
782,3,rural,summer,15687,5,17,1
284,4,rural,winter,5107,0,6,1
707,5,rural,spring,4485,6,20,1
637,3,highway,winter,10784,11,17,1
58,5,highway,winter,15054,21,21,1
123,5,highway,summer,5038,19,6,0
541,1,rural,spring,19246,22,6,1
302,3,highway,winter,19108,18,15,0
279,3,highway,spring,6871,16,8,0
568,5,rural,spring,2226,3,13,1
223,4,highway,spring,6291,2,12,1
702,1,rural,fall,8958,0,4,0
217,5,highway,fall,17721,17,16,0
219,2,highway,fall,16238,26,6,0
442,2,highway,fall,17570,20,14,0
683,1,rural,summer,17240,14,19,0
243,4,highway,winter,9563,7,9,1
566,5,highway,fall,10665,0,6,0
78,3,rural,summer,15039,19,9,0
214,1,highway,winter,16072,13,11,0
471,4,highway,fall,5147,3,16,0
388,3,highway,winter,10502,4,15,1
697,2,highway,fall,11333,22,13,0
545,2,rural,summer,10920,12,6,0
414,3,highway,spring,7142,27,7,0
391,1,highway,spring,11042,23,4,0
549,2,highway,winter,4857,14,16,0
706,5,rural,summer,16099,5,7,1
560,3,highway,spring,13701,0,14,1
376,3,highway,fall,3239,22,14,0
266,2,highway,spring,13731,18,15,0
350,1,highway,winter,10010,12,14,1
181,5,highway,winter,10227,28,9,0
119,1,highway,summer,11135,28,15,0
301,4,rural,winter,10464,5,12,1
464,4,highway,spring,17761,14,13,1
494,2,rural,spring,19754,15,6,1
231,2,rural,spring,11892,23,6,0
216,2,highway,spring,12836,22,19,0
140,4,highway,summer,12439,15,6,0
763,1,highway,fall,17176,9,13,0
580,1,rural,fall,10343,21,14,0
88,2,highway,summer,13323,8,11,0
175,5,highway,winter,3186,8,9,1
500,1,highway,fall,733,16,14,0
222,4,rural,winter,14929,16,15,0
702,3,rural,fall,19258,16,19,1
269,3,highway,winter,2772,23,21,1
687,3,rural,summer,17850,11,16,1
107,5,highway,spring,17773,12,6,0
709,2,highway,winter,3900,29,18,0
525,4,rural,spring,15871,11,17,1
505,5,highway,winter,5042,13,21,1
410,4,highway,winter,4023,9,17,0
50,4,highway,winter,18647,22,8,0
436,2,rural,winter,3791,18,17,1
397,3,rural,winter,2988,28,11,0
239,2,rural,spring,11392,1,18,0
554,5,rural,winter,2058,3,18,1
240,5,highway,spring,5190,18,9,0
557,5,highway,summer,6621,6,11,0
418,2,highway,fall,19160,25,9,0
458,4,highway,winter,12698,14,18,0
166,4,highway,fall,4939,14,6,0
183,1,rural,spring,17987,23,13,0
107,5,highway,summer,8020,5,18,1
605,4,highway,summer,5909,2,19,1
734,1,highway,summer,10170,5,20,0
721,4,highway,fall,12606,15,14,1
222,5,rural,spring,12434,1,19,1
198,3,highway,winter,8369,27,8,0
129,5,highway,winter,3456,6,8,0
262,2,rural,spring,11266,29,17,0
252,4,highway,fall,10586,10,21,0
278,4,highway,winter,10935,25,11,0
725,2,highway,spring,16912,29,8,1
276,2,highway,winter,10755,6,10,0
708,3,rural,summer,10138,3,19,0
581,4,rural,winter,8256,28,17,1
490,4,highway,fall,12356,23,8,0
451,3,rural,spring,16264,19,12,0
96,1,highway,fall,4102,6,7,0
282,3,highway,spring,5562,3,7,0
354,5,highway,summer,12377,28,19,0
575,4,highway,spring,7744,11,20,1
192,2,highway,winter,6872,4,18,0
464,5,rural,winter,7605,22,7,0
562,4,rural,summer,19646,28,9,1
422,3,highway,spring,12729,29,19,0
615,5,highway,summer,17456,29,7,1
308,4,highway,winter,8205,28,9,0
705,1,highway,fall,14394,25,8,1
520,1,highway,summer,12780,18,19,0
61,2,highway,fall,1114,25,19,0
379,4,rural,fall,4550,4,13,0
785,1,highway,spring,17209,26,12,0
407,3,highway,summer,16222,29,7,0
457,4,highway,fall,15710,18,17,0
717,3,highway,fall,17242,20,7,0
422,3,highway,spring,4277,29,15,0
57,1,rural,spring,6406,2,13,0
171,4,highway,winter,2221,26,7,0
397,5,rural,fall,18233,25,21,1
725,1,highway,winter,4396,10,16,0
139,1,highway,fall,7441,6,16,0
697,4,highway,winter,13964,28,17,0
747,4,rural,spring,5746,16,21,1
365,3,highway,summer,8884,24,4,0
227,4,rural,spring,19461,8,19,1
589,3,highway,winter,15869,20,18,1
781,1,rural,winter,16975,8,8,1
90,2,highway,summer,14144,9,9,0
789,5,rural,fall,11608,12,9,1
753,1,highway,winter,8628,14,6,1
551,4,rural,winter,17959,21,19,1
194,5,highway,winter,19397,4,15,1
250,2,highway,summer,8668,28,7,0
773,2,highway,spring,7361,2,4,0
510,3,rural,winter,9490,26,7,1
781,5,highway,summer,14250,26,4,0
